label,epoch,node,alloc_m,requested_m,used_m,free_m,pods
nimbus,1784222987.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,47,14885,9
nimbus,1784222987.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,588,14695,7
nimbus,1784222989.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,64,13985,8
nimbus,1784222989.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,645,14885,9
nimbus,1784222989.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,427,14695,7
nimbus,1784222991.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,64,13985,8
nimbus,1784222991.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,645,14885,9
nimbus,1784222991.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,427,13695,8
nimbus,1784222993.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,64,13985,8
nimbus,1784222993.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,645,14885,9
nimbus,1784222993.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,427,13695,8
nimbus,1784222995.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,64,13985,8
nimbus,1784222995.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,645,14885,9
nimbus,1784222995.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,427,13695,8
nimbus,1784222997.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,64,13985,8
nimbus,1784222997.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,645,14885,9
nimbus,1784222997.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,427,13695,8
nimbus,1784222999.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,64,13985,8
nimbus,1784222999.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,645,14885,9
nimbus,1784222999.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,427,13695,8
nimbus,1784223001.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,64,13985,8
nimbus,1784223001.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,645,13885,10
nimbus,1784223001.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,427,13695,8
nimbus,1784223003.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,64,13985,8
nimbus,1784223003.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,645,13885,10
nimbus,1784223003.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,427,13695,8
nimbus,1784223005.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,742,14985,7
nimbus,1784223005.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,64,13885,10
nimbus,1784223005.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,592,13695,8
nimbus,1784223007.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,742,14985,7
nimbus,1784223007.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,64,13885,10
nimbus,1784223007.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,592,13695,8
nimbus,1784223009.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,1015,742,14985,7
nimbus,1784223009.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,64,13885,10
nimbus,1784223009.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,592,13695,8
nimbus,1784223011.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,742,13985,8
nimbus,1784223011.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,64,13885,10
nimbus,1784223011.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,592,13695,8
nimbus,1784223013.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,742,13985,8
nimbus,1784223013.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,64,13885,10
nimbus,1784223013.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,592,13695,8
nimbus,1784223015.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,742,13985,8
nimbus,1784223015.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,64,13885,10
nimbus,1784223015.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,592,13695,8
nimbus,1784223017.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,742,13985,8
nimbus,1784223017.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,64,13885,10
nimbus,1784223017.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,592,14695,7
nimbus,1784223019.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,265,13985,8
nimbus,1784223019.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,666,13885,10
nimbus,1784223019.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1305,463,14695,7
nimbus,1784223021.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,265,13985,8
nimbus,1784223021.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,666,13885,10
nimbus,1784223021.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,463,13695,8
nimbus,1784223023.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,265,13985,8
nimbus,1784223023.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,666,14885,9
nimbus,1784223023.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,463,13695,8
nimbus,1784223025.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,265,13985,8
nimbus,1784223025.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,666,14885,9
nimbus,1784223025.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,463,13695,8
nimbus,1784223027.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,265,13985,8
nimbus,1784223027.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,666,14885,9
nimbus,1784223027.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,463,13695,8
nimbus,1784223029.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,265,13985,8
nimbus,1784223029.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1115,666,14885,9
nimbus,1784223029.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,463,13695,8
nimbus,1784223031.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,2015,265,13985,8
nimbus,1784223031.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,2115,666,13885,10
nimbus,1784223031.788,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,2305,463,13695,8
