label,epoch,node,alloc_m,requested_m,used_m,free_m,pods
periodic_fix200m,1784285342.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,868,14545,9
periodic_fix200m,1784285344.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,402,15085,10
periodic_fix200m,1784285344.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,399,14985,12
periodic_fix200m,1784285344.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,283,14545,9
periodic_fix200m,1784285346.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,402,15085,10
periodic_fix200m,1784285346.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,399,14985,12
periodic_fix200m,1784285346.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,755,283,15245,8
periodic_fix200m,1784285348.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,402,15085,10
periodic_fix200m,1784285348.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,399,14985,12
periodic_fix200m,1784285348.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,755,283,15245,8
periodic_fix200m,1784285350.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,402,15085,10
periodic_fix200m,1784285350.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,399,14985,12
periodic_fix200m,1784285350.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,755,283,15245,8
periodic_fix200m,1784285352.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,402,15085,10
periodic_fix200m,1784285352.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,399,14985,12
periodic_fix200m,1784285352.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,755,283,15245,8
periodic_fix200m,1784285354.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,402,15085,10
periodic_fix200m,1784285354.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,399,14985,12
periodic_fix200m,1784285354.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,755,283,15245,8
periodic_fix200m,1784285356.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,402,15085,10
periodic_fix200m,1784285356.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,399,14985,12
periodic_fix200m,1784285356.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,755,283,15245,8
